name,slug,norm_key,agency_name,aav_aa
Alex Cappa,alex-cappa,alex cappa,AMDG Sports,8750000
Rayshawn Jenkins,rayshawn-jenkins,rayshawn jenkins,Authentic Athletix,8750000
Lavonte David,lavonte-david,lavonte david,Agency 1 Athlete Management Group,8500000
Dre'Mont Jones,dremont-jones,dremont jones,Ace PR,8500000
Joe Mixon,joe-mixon,joe mixon,Authentic Athletix,8500000
Adam Thielen,adam-thielen,adam thielen,Athletes First,8333333
Amani Hooker,amani-hooker,amani hooker,JB Sports,8250000
Jeremy Chinn,jeremy-chinn,jeremy chinn,Exclusive Sports Group,8129000
Tony Pollard,tony-pollard,tony pollard,Rubicon Talent,8000000
Wyatt Teller,wyatt-teller,wyatt teller,Upper Edge Management,8000000
D'Andre Swift,dandre-swift,dandre swift,Athletes First,8000000
Ezra Cleveland,ezra-cleveland,ezra cleveland,LIFT Sports Management,8000000
Andre James,andre-james,andre james,Aura Sports Group,8000000
Samson Ebukam,samson-ebukam,samson ebukam,Steinberg Sports & Entertainment,8000000
Armand Membou,armand-membou,armand membou,WIN Sports Group,7978276
Bryce Young,bryce-young,bryce young,CAA,7591014
Blake Cashman,blake-cashman,blake cashman,IFA (The Institute for Athletes),7500000
Avonte Maddox,avonte-maddox,avonte maddox,SportStars,7500000
A'Shawn Robinson,ashawn-robinson,ashawn robinson,Ace PR,7500000
Colby Parkinson,colby-parkinson,colby parkinson,The Team,7500000
Foye Oluokun,foye-oluokun,foye oluokun,VaynerSports,7500000
Baron Browning,baron-browning,baron browning,Roc Nation,7500000
Darious Williams,darious-williams,darious williams,Klutch Sports Group,7500000
Travon Walker,travon-walker,travon walker,Elite Loyalty Sports,7480000
Connor Mcgovern,connor-mcgovern,connor mcgovern,WIN Sports Group,7450000
Cedrick Wilson Jr.,cedrick-wilson-jr,cedrick wilson,Athletes First,7350000
Ben Bredeson,ben-bredeson,ben bredeson,Athletes First,7333333
Malik Nabers,malik-nabers,malik nabers,"CMV Sports, LLC",7301938
Roy Robertson-Harris,roy-robertson-harris,roy robertsonharris,LIFT Sports Management,7200000
Kaden Elliss,kaden-elliss,kaden elliss,First Round Management,7166667
Marvin Harrison Jr.,marvin-harrison-jr,marvin harrison,Harrison Incorporated,7074948
Tedarrell Slaton,tedarrell-slaton,tedarrell slaton,AthElite Agency,7050000
Paris Johnson Jr.,paris-johnson-jr,paris johnson,Milk & Honey Sports,7013114
Arden Key,arden-key,arden key,CAA,7000000
Bilal Nichols,bilal-nichols,bilal nichols,The Team,7000000
Mike Hoecht,mike-hoecht,mike hoecht,Aura Sports Group,7000000
Taylor Heinicke,taylor-heinicke,taylor heinicke,Equity Sports,7000000
Daquan Jones,daquan-jones,daquan jones,Athletes First,7000000
Josh Oliver,josh-oliver,josh oliver,Ace PR,7000000
Jermaine Eluemunor,jermaine-eluemunor,jermaine eluemunor,Ace PR,7000000
Donovan Wilson,donovan-wilson,donovan wilson,Universal Sports & Entertainment Management,7000000
Anthony Richardson,anthony-richardson,anthony richardson,Legacy Sports Advisors,6798806
Christian Elliss,christian-elliss,christian elliss,First Round Management,6754000
Kyle Juszczyk,kyle-juszczyk,kyle juszczyk,Rubicon Talent,6750000
Graham Glasgow,graham-glasgow,graham glasgow,SportStars,6666667
Jc Latham,jc-latham,jc latham,Rosenhaus Sports Representation,6511297
Donte Jackson,donte-jackson,donte jackson,Rosenhaus Sports Representation,6500000
Eric Murray,eric-murray,eric murray,The Sports & Entertainment Group,6500000
Sebastian Joseph-Day,sebastian-joseph-day,sebastian josephday,Legend Agency,6500000
Devon Witherspoon,devon-witherspoon,devon witherspoon,WIN Sports Group,6372231
Matt Milano,matt-milano,matt milano,WIN Sports Group,6306500
Tyree Wilson,tyree-wilson,tyree wilson,Roc Nation,6251374
Alex Anzalone,alex-anzalone,alex anzalone,SportStars,6250000
Evan Neal,evan-neal,evan neal,Klutch Sports Group,6137815
Rico Dowdle,rico-dowdle,rico dowdle,Aura Sports Group,6125000
Cameron Jordan,cameron-jordan,cameron jordan,The RKO Group,6050000
Cole Holcomb,cole-holcomb,cole holcomb,Precision Sports Management Group,6000000
Alex Singleton,alex-singleton,alex singleton,ProStar Sports Agency,6000000
David Montgomery,david-montgomery,david montgomery,LIFT Sports Management,6000000
Darius Slayton,darius-slayton,darius slayton,Ace PR,6000000
Coleman Shelton,coleman-shelton,coleman shelton,OG1 Athletes,6000000
Julian Love,julian-love,julian love,Rosenhaus Sports Representation,6000000
A.j. Epenesa,aj-epenesa,aj epenesa,CAA,6000000
Jake Elliott,jake-elliott,jake elliott,Hungry Dog Marketing,6000000
Chauncey Golston,chauncey-golston,chauncey golston,Aura Sports Group,6000000
James Hudson Iii,james-hudson-iii,james hudson,Ace PR,6000000
Evan Brown,evan-brown,evan brown,Ace PR,5750000
Nate Landman,nate-landman,nate landman,SportsTrust Advisors,5625000
Ikem Ekwonu,ikem-ekwonu,ikem ekwonu,VaynerSports,5513610
Cameron Dicker,cameron-dicker,cameron dicker,William Raymond Communications,5501000
Davon Godchaux,davon-godchaux,davon godchaux,Rosenhaus Sports Representation,5500000
Adam Butler,adam-butler,adam butler,The Team,5500000
Deatrich Wise Jr.,deatrich-wise-jr,deatrich wise,Rosenhaus Sports Representation,5500000
Devin Singletary,devin-singletary,devin singletary,WIN Sports Group,5500000
Graham Gano,graham-gano,graham gano,Optimum Sports Management,5500000
Calais Campbell,calais-campbell,calais campbell,William Raymond Communications,5500000
Tyrod Taylor,tyrod-taylor,tyrod taylor,Sparx Marketing Group,5500000
Josey Jewell,josey-jewell,josey jewell,JB Sports,5500000
Jonathan Jones,jonathan-jones,jonathan jones,1 of 1 Agency,5500000
Jalen Carter,jalen-carter,jalen carter,Rosenhaus Sports Representation,5451504
Colston Loveland,colston-loveland,colston loveland,WIN Sports Group,5327202
Najee Harris,najee-harris,najee harris,Beast Mode Marketing,5250000
Sheldon Rankins,sheldon-rankins,sheldon rankins,Apex Sports Group,5250000
Luke Farrell,luke-farrell,luke farrell,IHC Sports,5250000
Makai Lemon,makai-lemon,makai lemon,GSE Worldwide,5202665
Rashid Shaheed,rashid-shaheed,rashid shaheed,Rosenhaus Sports Representation,5200000
Brandon Mcmanus,brandon-mcmanus,brandon mcmanus,Rosenhaus Sports Representation,5100000
Alohi Gilman,alohi-gilman,alohi gilman,Athletes First,5062500
Morgan Moses,morgan-moses,morgan moses,Upper Edge Management,5000000
Sean Murphy-Bunting,sean-murphy-bunting,sean murphybunting,William Raymond Communications,5000000
Deandre Hopkins,deandre-hopkins,deandre hopkins,Sanders Sports & Entertainment,5000000
Akeem Davis-Gaither,akeem-davis-gaither,akeem davisgaither,Athletes First,5000000
Malik Harrison,malik-harrison,malik harrison,Rosenhaus Sports Representation,5000000
Austin Hooper,austin-hooper,austin hooper,The Team,5000000
Gregory Soto,gregory-soto,gregory soto,Munger English Sports Management,5000000
Chris Boswell,chris-boswell,chris boswell,CAA,5000000
Anthony Nelson,anthony-nelson,anthony nelson,JB Sports,5000000
Younghoe Koo,younghoe-koo,younghoe koo,International Sports Advisors,4850000
Andrew Wingard,andrew-wingard,andrew wingard,Octagon,4800000
Darrell Taylor,darrell-taylor,darrell taylor,Ace PR,4750000
Ryan Neuzil,ryan-neuzil,ryan neuzil,Derrick Fox,4750000
Shemar Stewart,shemar-stewart,shemar stewart,Loyalty Above All,4742319
Parris Campbell,parris-campbell,parris campbell,Sparx Marketing Group,4700000
Bo Nix,bo-nix,bo nix,QB Reps,4653292
Nyheim Hines,nyheim-hines,nyheim hines,EMG Sports,4650000
Amik Robertson,amik-robertson,amik robertson,AthElite Agency,4625000
Michael Penix Jr.,michael-penix-jr,michael penix,WIN Sports Group,4576527
Emeka Egbuka,emeka-egbuka,emeka egbuka,WIN Sports Group,4543183
Brock Bowers,brock-bowers,brock bowers,WIN Sports Group,4534696
Kyle Van Noy,kyle-van-noy,kyle van noy,Maxx Sports & Entertainment,4500000
Mecole Hardman,mecole-hardman,mecole hardman,Rubicon Talent,4500000
Kam Curl,kam-curl,kam curl,Milk & Honey Sports,4500000
Jourdan Lewis,jourdan-lewis,jourdan lewis,Aura Sports Group,4500000
Lorenzo Carter,lorenzo-carter,lorenzo carter,WIN Sports Group,4500000
Teair Tart,teair-tart,teair tart,Rosenhaus Sports Representation,4500000
Jarran Reed,jarran-reed,jarran reed,1 of 1 Agency,4500000
Omarion Hampton,omarion-hampton,omarion hampton,WIN Sports Group,4443616
Mazi Smith,mazi-smith,mazi smith,WIN Sports Group,4424899
Bijan Robinson,bijan-robinson,bijan robinson,Klutch Sports Group,4391707
J.j. Mccarthy,jj-mccarthy,jj mccarthy,WIN Sports Group,4370959
C.j. Ham,cj-ham,cj ham,IFA (The Institute for Athletes),4325000
Drake London,drake-london,drake london,Roc Nation,4306894
Aaron Brewer,aaron-brewer,aaron brewer,Athletes First,4304000
Charles Cross,charles-cross,charles cross,Klutch Sports Group,4276725
Joe Flacco,joe-flacco,joe flacco,JL Sports Agency,4250000
Ryan Bates,ryan-bates,ryan bates,Compass Sports Advisors,4250000
Jaycee Horn,jaycee-horn,jaycee horn,Ace PR,4222429
Austin Ekeler,austin-ekeler,austin ekeler,Dynamic Sports Group,4215000
Mack Hollins,mack-hollins,mack hollins,AP Brand Group,4200000
Wil Lutz,wil-lutz,wil lutz,Perla Sports Management,4200000
Darnell Wright,darnell-wright,darnell wright,Octagon,4193653
Broderick Jones,broderick-jones,broderick jones,Athletes First,4156588
Jake Brendel,jake-brendel,jake brendel,Capital Sports Advisors,4125000
Jalon Walker,jalon-walker,jalon walker,Ace PR,4112474
Chase Mclaughlin,chase-mclaughlin,chase mclaughlin,1 of 1 Agency,4100000
Will Mcdonald Iv,will-mcdonald-iv,will mcdonald,LIFT Sports Management,4080419
Tyler Bass,tyler-bass,tyler bass,LIFT Sports Management,4080000
Foster Moreau,foster-moreau,foster moreau,JL Sports Agency,4078000
Alec Ingold,alec-ingold,alec ingold,Range Media Partners,4066667
Devonta Smith,devonta-smith,devonta smith,Klutch Sports Group,4028278
Demarcus Robinson,demarcus-robinson,demarcus robinson,Katz Brothers Sports,4000000
Charles Omenihu,charles-omenihu,charles omenihu,Ace PR,4000000
E.j. Speed,ej-speed,ej speed,Maven Sports Group,4000000
Andy Dalton,andy-dalton,andy dalton,CAA,4000000
Nate Herbig,nate-herbig,nate herbig,1 of 1 Agency,4000000
Logan Cooke,logan-cooke,logan cooke,BC Sports,4000000
Andrew Billings,andrew-billings,andrew billings,SportsTrust Advisors,4000000
Nick Scott,nick-scott,nick scott,EMG Sports,4000000
Andrew Wylie,andrew-wylie,andrew wylie,BC Sports,4000000
Josh Jones,josh-jones,josh jones,Rosenhaus Sports Representation,4000000
Kelvin Beachum,kelvin-beachum,kelvin beachum,AMDG Sports,4000000
Derek Barnett,derek-barnett,derek barnett,Rosenhaus Sports Representation,4000000
