name,pos_detail,team_full,fa_type,snap_pct,age,prior_apy,prior_gtd,team,pos_group,slug,low,high,midpoint,comp_count,comp_names,method
"Jon Runyan, Jr.",LG,Giants,UFA,95.1,30.0,10000000.0,17000000.0,NYG,OL,jon-runyan-jr,7.1,22.6,15.5,25,"['Aaron Brewer (age 30, $7.0M)', 'Michael Onwenu (age 30, $19.0M)', 'Ryan Neuzil (age 30, $4.8M)', 'Frank Ragnow (age 30, $14.0M)']","25 comps at OL, age 27.0-33.0"
A'Shawn Robinson,IDL,Buccaneers,UFA,62.2,32.0,10000000.0,9150000.0,TB,IDL,ashawn-robinson,7.4,22.5,11.5,17,"['Vita Vea (age 32, $17.8M)', 'Maliek Collins (age 32, $10.0M)', 'Chris Jones (age 32, $31.8M)', 'DJ Reader (age 32, $11.0M)']","17 comps at IDL, age 29.0-35.0"
Maliek Collins,IDL,Browns,Void,44.8,32.0,10000000.0,13000000.0,CLE,IDL,maliek-collins,5.6,17.2,8.8,17,"[""A'Shawn Robinson (age 32, $10.0M)"", 'Davon Godchaux (age 33, $5.5M)', 'Dalvin Tomlinson (age 33, $6.2M)', 'DeForest Buckner (age 33, $23.0M)']","17 comps at IDL, age 29.0-35.0"
Uchenna Nwosu,EDGE,Seahawks,UFA,51.7,31.0,9755000.0,6980000.0,SEA,EDGE,uchenna-nwosu,3.9,23.0,10.4,20,"['Charles Omenihu (age 30, $4.0M)', 'Andrew Van Ginkel (age 32, $23.0M)', 'Danielle Hunter (age 31, $17.5M)', 'Al-Quadin Muhammad (age 32, $4.0M)']","20 comps at EDGE, age 28.0-34.0"
Kingsley Enagbare,EDGE,Jets,Void,41.8,27.0,9000000.0,8490000.0,NYJ,EDGE,kingsley-enagbare,4.8,23.8,8.8,16,"['Tyree Wilson (age 27, $6.3M)', 'Kayvon Thibodeaux (age 27, $7.8M)', 'Baron Browning (age 28, $7.5M)', 'Arnold Ebiketie (age 28, $4.3M)']","16 comps at EDGE, age 24.0-30.0"
Hunter Henry,TE,Patriots,UFA,79.4,33.0,9000000.0,15800000.0,NE,TE,hunter-henry,9.4,16.0,13.0,6,"['George Kittle (age 33, $19.1M)', 'Dallas Goedert (age 32, $7.0M)', 'Evan Engram (age 33, $11.5M)', 'Mark Andrews (age 31, $14.0M)']","6 comps at TE, age 30.0-36.0"
Jordyn Brooks,LB,Dolphins,Void,92.0,30.0,8750000.0,9500000.0,MIA,LB,jordyn-brooks,8.3,17.2,9.0,11,"['Roquan Smith (age 30, $20.0M)', 'Fred Warner (age 30, $21.0M)', 'Foyesade Oluokun (age 30, $15.0M)', 'Blake Cashman (age 31, $7.5M)']","11 comps at LB, age 27.0-33.0"
Anthony Richardson,QB,Colts,UFA,1.3,25.0,8498508.0,33994030.0,IND,QB,anthony-richardson,41.1,43.6,42.2,6,"['Justin Fields (age 28, $11.0M)', 'Trevor Lawrence (age 27, $55.0M)', 'Brock Purdy (age 27, $53.0M)', 'Jordan Love (age 28, $55.0M)']","6 comps at QB, age 22.0-28.0"
Jeremy Chinn,S,Raiders,UFA,88.5,29.0,8129000.0,12250000.0,LV,S,jeremy-chinn,5.8,20.0,10.5,10,"['Grant Delpit (age 29, $12.0M)', 'Minkah Fitzpatrick (age 29, $18.4M)', 'Brandon Jones (age 29, $6.7M)', 'Antoine Winfield Jr. (age 28, $21.0M)']","10 comps at S, age 26.0-32.0"
Greg Newsome II,CB,Giants,UFA,69.1,27.0,8000000.0,3000000.0,NYG,CB,greg-newsome-ii,4.9,18.0,14.4,13,"[""Ja'Quan McMillian (age 27, $5.8M)"", 'Tariq Woolen (age 28, $12.0M)', 'Jaylon Johnson (age 28, $19.0M)', 'Patrick Surtain II (age 26, $24.0M)']","13 comps at CB, age 24.0-30.0"
Ezra Cleveland,LG,Jaguars,Void,92.1,29.0,8000000.0,14250000.0,JAX,OL,ezra-cleveland,7.0,21.5,14.5,25,"['Chris Lindstrom (age 29, $20.5M)', 'Aaron Brewer (age 30, $7.0M)', 'Jon Runyan, Jr. (age 30, $10.0M)', 'Michael Onwenu (age 30, $19.0M)']","25 comps at OL, age 26.0-32.0"
D'Andre Swift,RB,Bears,UFA,53.8,28.0,8000000.0,14000000.0,CHI,RB,dandre-swift,6.4,11.4,9.6,9,"['Jordan Mason (age 28, $5.2M)', 'Josh Jacobs (age 28, $12.0M)', 'Jonathan Taylor (age 28, $14.0M)', 'Saquon Barkley (age 29, $20.6M)']","9 comps at RB, age 25.0-31.0"
