Player,Pos.,2026 Team,2027 Team,Type,Snaps,Age,Current APY,Guarantees
Cory Durden,IDL,Patriots,,ERFA,37.40%,28,"$1,087,500 ",$0 
Xavier Gipson,WR,Giants,,UFA,0.90%,26,"$1,087,500 ",$0 
Aidan O'Connell,QB,Raiders,,UFA,5.10%,29,"$1,087,345 ","$509,380 "
Michael Bandy,WR,Broncos,,ERFA,1.40%,30,"$1,085,000 ","$10,000 "
Nick Broeker,LG,Bills,,RFA,0.00%,27,"$1,080,000 ","$5,000 "
Tyler Badie,RB,Broncos,,RFA,16.80%,28,"$1,075,000 ",$0 
Justin Shorter,WR,Raiders,,UFA,0.50%,27,"$1,075,000 ",$0 
Matt Araiza,P,Chiefs,,RFA,30.60%,27,"$1,075,000 ",$0 
Jordan Jackson,IDL,Broncos,,RFA,7.60%,29,"$1,075,000 ",$0 
Devon Key,S,Broncos,,RFA,6.50%,30,"$1,075,000 ",$0 
Kendric Pryor,WR,Bengals,,ERFA,0.00%,29,"$1,075,000 ",$0 
Loren Strickland,S,Lions,,ERFA,1.30%,27,"$1,075,000 ",$0 
Matt Waletzko,RT,Chiefs,,UFA,0.00%,28,"$1,075,000 ",$0 
Levelle Bailey,LB,Broncos,,ERFA,1.00%,27,"$1,075,000 ",$0 
Leonard Taylor,IDL,Patriots,,RFA,9.30%,25,"$1,075,000 ",$0 
Jimmy Morrissey,C,Colts,,UFA,0.00%,29,"$1,075,000 ",$0 
Chris Blair,WR,Falcons,,ERFA,1.10%,30,"$1,075,000 ",$0 
Justin Dedich,C,Rams,,RFA,43.70%,27,"$1,075,000 ",$0 
Rex Sunahara,LS,Browns,,RFA,29.40%,31,"$1,075,000 ",$0 
Ja'Tyre Carter,LG,Panthers,,RFA,0.00%,28,"$1,075,000 ",$0 
Brittain Brown,RB,Bears,,RFA,1.30%,30,"$1,075,000 ",$0 
Dondrea Tillman,EDGE,Broncos,,RFA,37.10%,29,"$1,075,000 ",$0 
Cole Turner,TE,Dolphins,,RFA,0.00%,27,"$1,075,000 ",$0 
Carter Warren,RT,Dolphins,,RFA,0.00%,28,"$1,075,000 ",$0 
Sebastian Gutierrez,LT,Patriots,,ERFA,0.00%,29,"$1,075,000 ",$0 
Andrew Rupcich,RT,Patriots,,ERFA,0.00%,28,"$1,075,000 ",$0 
Maurice Alexander,WR,Bears,,ERFA,0.10%,30,"$1,075,000 ",$0 
Jalen Coker,WR,Panthers,,RFA,41.40%,26,"$1,075,000 ",$0 
Josh Ross,S,Vikings,,RFA,0.00%,28,"$1,075,000 ",$0 
Timmy Horne,IDL,Titans,,UFA,0.00%,30,"$1,075,000 ",$0 
Sidy Sow,RG,Texans,,RFA,0.80%,29,"$1,075,000 ",$0 
Swayze Bozeman,LB,Giants,,ERFA,3.10%,29,"$1,075,000 ",$0 
Jalen Virgil,WR,Bills,,UFA,0.00%,29,"$1,075,000 ",$0 
Keir Thomas,EDGE,Rams,,UFA,0.00%,29,"$1,075,000 ",$0 
Jamari Thrash,WR,Browns,,RFA,19.90%,27,"$1,075,000 ",$0 
K.J. Henry,EDGE,Steelers,,RFA,0.00%,28,"$1,075,000 ",$0 
Darius Rush,CB,Commanders,,RFA,0.00%,27,"$1,075,000 ",$0 
Damarion Williams,CB,Buccaneers,,RFA,8.40%,29,"$1,075,000 ",$0 
Michael Niese,LG,Lions,,RFA,1.10%,29,"$1,075,000 ",$0 
Sean Clifford,QB,Bengals,,RFA,0.00%,29,"$1,075,000 ",$0 
Lucas Havrisik,K,Packers,,ERFA,6.90%,28,"$1,075,000 ",$0 
D'Shawn Jamison,CB,Steelers,,ERFA,0.00%,28,"$1,075,000 ",$0 
A.J. Finley,S,Seahawks,,UFA,0.00%,26,"$1,075,000 ",$0 
Cam Grandy,TE,Bengals,,RFA,2.50%,28,"$1,075,000 ",$0 
Nic Jones,CB,Giants,,RFA,1.80%,26,"$1,075,000 ",$0 
Cody Schrader,RB,Broncos,,UFA,0.00%,28,"$1,075,000 ",$0 
Kendall Williamson,S,Chargers,,ERFA,2.70%,27,"$1,075,000 ",$0 
Jalen Redmond,IDL,Vikings,,RFA,74.10%,28,"$1,075,000 ",$0 
Joshua Karty,K,Cardinals,,RFA,17.10%,25,"$1,075,000 ",$0 
Xavier Thomas,LB,Texans,,RFA,1.30%,28,"$1,075,000 ",$0 
Malachi Corley,WR,Browns,,RFA,17.90%,25,"$1,075,000 ",$0 
Otis Reese,LB,Patriots,,RFA,0.00%,29,"$1,075,000 ",$0 
Jake Bates,K,Lions,,RFA,36.40%,28,"$1,075,000 ",$0 
Bryce Oliver,WR,Titans,,RFA,2.80%,27,"$1,075,000 ",$0 
Colton Dowell,WR,49ers,,RFA,0.00%,28,"$1,075,000 ",$0 
Josh Butler,CB,Cowboys,,RFA,2.30%,31,"$1,075,000 ",$0 
Brenden Bates,TE,Browns,,RFA,12.70%,28,"$1,075,000 ",$0 
Natrone Brooks,CB,Falcons,,RFA,6.80%,28,"$1,075,000 ",$0 
Bo Richter,EDGE,Vikings,,RFA,4.90%,27,"$1,075,000 ",$0 
Mitchell Tinsley,WR,Bengals,,RFA,25.90%,28,"$1,075,000 ",$0 
Ryan Miller,WR,Giants,,RFA,10.80%,27,"$1,075,000 ",$0 
Evan Deckers,LS,Buccaneers,,RFA,28.20%,28,"$1,075,000 ",$0 
Chris Smith,IDL,Lions,,ERFA,0.00%,28,"$1,075,000 ",$0 
Xavier Smith,WR,Rams,,RFA,20.50%,30,"$1,075,000 ",$0 
Jowon Briggs,IDL,Jets,,ERFA,52.10%,26,"$1,075,000 ",$0 
Tanner McCalister,S,Chiefs,,ERFA,0.00%,27,"$1,075,000 ",$0 
Demani Richardson,S,Panthers,,RFA,2.70%,27,"$1,075,000 ",$0 
A.T. Perry,WR,Steelers,,ERFA,0.00%,28,"$1,075,000 ",$0 
P.J. Mustipher,IDL,Cardinals,,ERFA,26.20%,29,"$1,075,000 ",$0 
Art Green,CB,Giants,,RFA,0.00%,27,"$1,075,000 ",$0 
Nikko Remigio,WR,Chiefs,,RFA,2.80%,28,"$1,075,000 ",$0 
Ochaun Mathis,EDGE,Jets,,ERFA,0.00%,28,"$1,075,000 ",$0 
Isaiah Stalbird,S,Saints,,ERFA,5.80%,27,"$1,075,000 ",$0 
Ben VanSumeren,LB,Bills,,UFA,0.00%,27,"$1,075,000 ",$0 
Kimani Vidal,RB,Chargers,,RFA,42.10%,26,"$1,075,000 ",$0 
Jason Brownlee,WR,Chiefs,,RFA,2.30%,28,"$1,075,000 ",$0 
Austen Pleasants,LT,49ers,,ERFA,11.10%,30,"$1,075,000 ",$0 
Jaden Crumedy,IDL,Packers,,RFA,4.20%,27,"$1,075,000 ",$0 
Jack Westover,TE,Patriots,,ERFA,21.70%,28,"$1,075,000 ",$0 
George Holani,RB,Seahawks,,ERFA,3.30%,28,"$1,075,000 ",$0 
Sala Aumavae-Laulu,LG,Commanders,,RFA,0.00%,28,"$1,075,000 ",$0 
Tre Hawkins,CB,Commanders,,RFA,0.00%,27,"$1,075,000 ",$0 
Deuce Vaughn,RB,Broncos,,RFA,0.00%,26,"$1,075,000 ",$0 
Ronnie Bell,WR,Saints,,RFA,3.40%,27,"$1,052,500 ",$0 
Yasir Abdullah,LB,Jaguars,,UFA,0.20%,27,"$1,051,304 ","$365,216 "
Nick Gargiulo,RG,Broncos,,ERFA,0.00%,27,"$1,046,500 ","$58,000 "
Jordan Howden,S,Saints,,UFA,23.70%,27,"$1,041,682 ","$326,728 "
Noah Sewell,LB,Bears,,UFA,38.10%,25,"$1,041,237 ","$324,948 "
Mike Morris,EDGE,Seahawks,,UFA,14.60%,26,"$1,040,519 ","$322,076 "
Colby Sorsdal,RG,Lions,,UFA,0.00%,27,"$1,040,021 ","$320,084 "
SirVocea Dennis,LB,Buccaneers,,UFA,87.20%,27,"$1,039,332 ","$317,328 "
Olusegun Oluwatimi,C,Seahawks,,UFA,28.90%,28,"$1,039,115 ","$316,460 "
Darrell Luter Jr.,CB,49ers,,UFA,25.00%,27,"$1,038,378 ","$313,512 "
Daniel Scott,S,Colts,,UFA,1.10%,29,"$1,036,959 ","$307,836 "
Antonio Johnson,S,Jaguars,,UFA,60.10%,26,"$1,035,458 ","$301,832 "
Will Mallory,TE,Colts,,UFA,1.50%,28,"$1,032,648 ","$290,592 "
Chase Brown,RB,Bengals,,UFA,66.40%,27,"$1,031,539 ","$286,156 "
Irvin Charles,WR,Jets,,UFA,0.00%,30,"$1,030,000 ",$0 
Chance Campbell,LB,Eagles,,UFA,0.00%,28,"$1,030,000 ","$25,000 "
Terell Smith,CB,Bears,,UFA,0.00%,28,"$1,028,971 ","$275,884 "
Davis Allen,TE,Rams,,UFA,51.50%,26,"$1,021,245 ","$244,980 "
Warren McClendon,LT,Rams,,UFA,58.80%,26,"$1,021,245 ","$244,980 "
Henry To'oTo'o,LB,Texans,,UFA,78.70%,26,"$1,021,245 ","$244,980 "
Eric Gray,RB,Giants,,UFA,0.30%,28,"$1,021,245 ","$244,980 "
Payne Durham,TE,Buccaneers,,UFA,31.20%,27,"$1,021,245 ","$244,980 "
Christopher Smith,S,Jets,,UFA,0.30%,27,"$1,021,245 ","$244,980 "
Asim Richards,LG,Saints,,UFA,32.30%,27,"$1,021,245 ","$244,980 "
Puka Nacua,WR,Rams,,UFA,64.10%,26,"$1,021,245 ","$244,980 "
Owen Pappoe,LB,Cardinals,,UFA,8.40%,27,"$1,021,245 ","$244,980 "
Tyrell Shavers,WR,Bills,,ERFA,39.00%,28,"$1,021,000 ","$7,000 "
Shedrick Jackson,WR,Raiders,,ERFA,2.20%,28,"$1,017,500 ",$0 
Dylan Cook,LT,Steelers,,RFA,28.20%,29,"$1,017,500 ",$0 
Demontrey Jacobs,RT,Cardinals,,RFA,5.70%,29,"$1,017,500 ",$0 
Ali Gaye,EDGE,Texans,,RFA,3.50%,30,"$1,017,500 ",$0 
Dante Miller,RB,Giants,,ERFA,0.00%,28,"$1,017,500 ",$0 
Keidron Smith,CB,Jets,,ERFA,6.10%,28,"$1,017,500 ",$0 
Kevin Austin Jr.,WR,Saints,,RFA,21.50%,27,"$1,017,500 ",$0 
Audric Estime,RB,Saints,,RFA,16.10%,24,"$1,017,500 ",$0 
Edefuan Ulofoshio,LB,Browns,,ERFA,0.00%,27,"$1,017,500 ",$0 
Taki Taimani,IDL,Vikings,,ERFA,3.30%,28,"$1,017,500 ",$0 
C.J. Hanson,RG,Chiefs,,RFA,0.10%,26,"$1,017,500 ",$0 
Jarius Monroe,CB,Jets,,ERFA,0.30%,27,"$1,017,500 ",$0 
Ryan Rehkow,P,Bengals,,RFA,30.30%,29,"$1,017,500 ",$0 
Ryan Flournoy,WR,Cowboys,,RFA,40.40%,28,"$1,017,500 ",$0 
Julian Good-Jones,LT,Commanders,,ERFA,0.00%,30,"$1,017,500 ",$0 
Maema Njongmeta,LB,Panthers,,RFA,0.50%,26,"$1,017,500 ",$0 
Isaiah Williams,WR,Jets,,RFA,31.40%,26,"$1,017,500 ",$0 
Shemar Bartholomew,CB,Packers,,RFA,3.00%,27,"$1,017,500 ",$0 
Eric Watts,EDGE,Jets,,ERFA,9.10%,27,"$1,017,500 ",$0 
Dwight McGlothern,CB,Vikings,,RFA,2.90%,25,"$1,017,500 ",$0 
Terrell Jennings,RB,Patriots,,ERFA,3.60%,26,"$1,017,500 ",$0 
Nick Samac,C,Panthers,,RFA,0.00%,26,"$1,017,500 ",$0 
Elijah Chatman,IDL,Giants,,ERFA,7.40%,27,"$1,017,500 ",$0 
Jaylin Simpson,S,Packers,,ERFA,0.00%,27,"$1,017,500 ",$0 
Tyreke Smith,EDGE,Chiefs,,RFA,0.00%,27,"$1,017,500 ",$0 
Charles Woods,CB,Patriots,,RFA,11.40%,27,"$1,017,500 ",$0 
Sanoussi Kane,S,Titans,,RFA,7.00%,26,"$1,017,500 ",$0 
Sam Hartman,QB,Commanders,,ERFA,0.00%,28,"$1,017,500 ",$0 
Chigozie Anusiem,CB,Raiders,,RFA,0.00%,27,"$1,017,500 ",$0 
Karl Brooks,IDL,Packers,,UFA,55.20%,27,"$1,013,007 ","$212,028 "
Kei'Trel Clark,CB,Cardinals,,UFA,17.50%,26,"$1,012,150 ","$208,600 "
Josh Hayes,S,Buccaneers,,UFA,0.00%,28,"$1,011,094 ","$204,376 "
J.L. Skinner,S,Broncos,,UFA,3.00%,26,"$1,009,056 ","$196,224 "
Parker Washington,WR,Jaguars,,UFA,58.40%,25,"$1,008,066 ","$192,264 "
Kayshon Boutte,WR,Patriots,,UFA,55.50%,25,"$1,006,816 ","$187,264 "
Tanner McKee,QB,Eagles,,UFA,8.40%,27,"$1,006,630 ","$186,520 "
C.J. Ravenell,EDGE,Titans,,ERFA,9.10%,27,"$1,005,000 ",$0 
Ainias Smith,WR,Panthers,,ERFA,0.00%,26,"$1,005,000 ",$0 
P.J. Jules,S,Bengals,,ERFA,0.70%,26,"$1,005,000 ",$0 
Gervarrius Owens,S,Bears,,ERFA,0.00%,28,"$1,005,000 ",$0 
Javon Foster,LT,Bengals,,ERFA,0.00%,27,"$1,005,000 ",$0 
Corey Bullock,C,Ravens,,ERFA,1.30%,26,"$1,005,000 ",$0 
Messiah Swinson,TE,Packers,,ERFA,0.00%,27,"$1,005,000 ",$0 
John Saunders,S,Patriots,,ERFA,0.00%,26,"$1,005,000 ",$0 
Reddy Steward,CB,Cowboys,,ERFA,46.90%,26,"$1,005,000 ",$0 
Peter Bowden,LS,Chargers,,ERFA,0.00%,26,"$1,005,000 ",$0 
Cam'Ron Silmon-Craig,S,Jaguars,,ERFA,1.90%,25,"$1,005,000 ",$0 
William Bradley-King,EDGE,49ers,,ERFA,0.00%,30,"$1,005,000 ",$0 
Kyle Hergel,LG,Bears,,ERFA,0.00%,28,"$1,005,000 ",$0 
Bralyn Lux,CB,Bengals,,ERFA,1.70%,27,"$1,005,000 ",$0 
Donovan Jennings,RT,Packers,,ERFA,0.60%,28,"$1,005,000 ",$0 
Kendall Milton,RB,Bengals,,ERFA,0.40%,25,"$1,005,000 ",$0 
Brant Banks,LT,Packers,,ERFA,0.00%,27,"$1,005,000 ",$0 
Evan Anderson,IDL,49ers,,ERFA,0.00%,25,"$1,005,000 ",$0 
Hayden Rucci,TE,49ers,,ERFA,4.00%,26,"$1,005,000 ",$0 
Dominique Hampton,S,Bears,,ERFA,0.00%,27,"$1,005,000 ",$0 
Jamree Kromah,EDGE,Bears,,ERFA,0.00%,27,"$1,005,000 ",$0 
Jake Kubas,RG,Giants,,ERFA,0.00%,27,"$1,005,000 ",$0 
Jacoby Windmon,LB,Panthers,,ERFA,0.00%,26,"$1,005,000 ",$0 
Niko Lalos,EDGE,Patriots,,ERFA,0.00%,30,"$1,005,000 ",$0 
Sebastian Valdez,IDL,49ers,,ERFA,0.00%,25,"$1,005,000 ",$0 
Trey Washington,S,Colts,,ERFA,3.10%,25,"$1,005,000 ",$0 
Carter Bradley,QB,Jaguars,,ERFA,0.00%,27,"$1,005,000 ",$0 
Sincere McCormick,RB,49ers,,RFA,0.00%,27,"$1,005,000 ",$0 
Durell Nchami,EDGE,Colts,,ERFA,2.80%,27,"$1,005,000 ",$0 
Connor Bazelak,QB,Buccaneers,,ERFA,0.00%,27,"$1,005,000 ",$0 
Malik Cunningham,QB,Lions,,ERFA,0.10%,29,"$1,005,000 ",$0 
Jaden Davis,CB,Cardinals,,ERFA,6.90%,26,"$1,005,000 ",$0 
Andrew Farmer,EDGE,49ers,,ERFA,0.00%,27,"$1,005,000 ",$0 
Jared Wayne,WR,Texans,,RFA,3.00%,27,"$1,005,000 ",$0 
Kamal Hadden,CB,Packers,,ERFA,3.30%,26,"$1,005,000 ",$0 
Patrick McMorris,S,49ers,,ERFA,0.00%,26,"$1,005,000 ",$0 
Brenden Rice,WR,Raiders,,ERFA,0.00%,25,"$1,005,000 ",$0 
Tanner McLachlan,TE,Chargers,,ERFA,0.00%,28,"$1,005,000 ",$0 
Austin Ajiake,LB,Colts,,ERFA,13.50%,27,"$1,005,000 ",$0 
Carl Jones Jr.,EDGE,Ravens,,ERFA,0.00%,26,"$1,005,000 ",$0 
Devin Cochran,LT,Lions,,RFA,0.00%,29,"$1,005,000 ",$0 
Sataoa Laumea,RT,Steelers,,ERFA,0.00%,26,"$1,005,000 ",$0 
Andrew Stueber,RT,Falcons,,ERFA,0.00%,28,"$1,005,000 ",$0 
Ricky Lee,LT,Jaguars,,ERFA,0.00%,28,"$1,005,000 ",$0 
Andre Szmyt,K,Browns,,ERFA,23.90%,29,"$1,005,000 ",$0 
Garrett Dellinger,LG,Titans,,ERFA,2.70%,25,"$1,005,000 ",$0 
Zavier Scott,WR,Vikings,,ERFA,10.50%,28,"$1,005,000 ",$0 
Liam Anderson,LB,Bengals,,ERFA,0.00%,27,"$1,005,000 ",$0 
Jaheim Bell,TE,Steelers,,ERFA,0.00%,26,"$1,005,000 ",$0 
Harrison Mevis,K,Rams,,ERFA,12.90%,25,"$1,005,000 ",$0 
Qwuantrezz Knight,S,Commanders,,ERFA,0.00%,30,"$1,005,000 ",$0 
Tyrek Funderburk,CB,Panthers,,ERFA,0.00%,27,"$1,005,000 ",$0 
Basil Okoye,IDL,Ravens,,ERFA,18.90%,26,"$1,005,000 ",$0 
Nick Whiteside,CB,Lions,,ERFA,4.60%,27,"$1,005,000 ",$0 
Ja'Markis Weston,EDGE,Seahawks,,ERFA,0.00%,27,"$1,005,000 ",$0 
Beanie Bishop,CB,Saints,,ERFA,0.00%,28,"$1,005,000 ",$0 
Anthony Goodlow,EDGE,Steelers,,ERFA,3.10%,27,"$1,005,000 ",$0 
Adrian Martinez,QB,49ers,,ERFA,0.10%,27,"$1,005,000 ",$0 
Jacob Saylors,RB,Lions,,ERFA,0.70%,27,"$1,005,000 ",$0 
Amari Gainer,EDGE,Patriots,,ERFA,0.00%,27,"$1,005,000 ",$0 
Will Putnam,C,Raiders,,ERFA,14.00%,27,"$1,005,000 ",$0 
Carlos Washington Jr.,RB,Falcons,,ERFA,0.00%,29,"$1,005,000 ",$0 
Winston Reid,LB,Browns,,RFA,0.00%,28,"$1,005,000 ",$0 
Nikola Kalinic,TE,Bears,,ERFA,0.00%,30,"$1,005,000 ",$0 
Chris Collier,RB,Raiders,,ERFA,0.00%,27,"$1,005,000 ",$0 
Rejzohn Wright,CB,Saints,,RFA,0.20%,27,"$1,005,000 ",$0 
Theo Benedet,RT,Bears,,ERFA,50.00%,26,"$1,005,000 ",$0 
Solomon Byrd,EDGE,Texans,,ERFA,0.00%,28,"$1,005,000 ",$0 
Howard Cross III,IDL,Bengals,,ERFA,4.60%,26,"$1,005,000 ",$0 
Myles Cole,EDGE,Saints,,ERFA,0.00%,27,"$1,005,000 ",$0 
Brycen Tremayne,WR,Panthers,,ERFA,24.90%,28,"$1,005,000 ",$0 
Luke Wypler,RG,Browns,,UFA,25.10%,26,"$1,004,993 ","$179,972 "
Trey Palmer,WR,Saints,,UFA,0.00%,26,"$1,004,824 ","$179,296 "
Bryce Baringer,P,Patriots,,UFA,27.10%,28,"$1,004,614 ","$178,456 "
Elijah Higgins,WR,Cardinals,,UFA,41.90%,27,"$1,003,970 ","$175,880 "
Scott Matlock,IDL,Chargers,,UFA,1.10%,27,"$1,003,073 ","$172,292 "
Jarrett Patterson,C,Texans,,UFA,28.80%,28,"$1,002,494 ","$169,976 "
Xavier Hutchinson,WR,Texans,,UFA,57.90%,27,"$1,000,925 ","$163,700 "
Andrei Iosivas,WR,Bengals,,UFA,76.60%,28,"$999,848 ","$159,392 "
Dante Stills,IDL,Cardinals,,UFA,47.80%,28,"$993,333 ","$133,332 "
Dee Winters,LB,Cowboys,,UFA,91.50%,27,"$993,333 ","$133,332 "
Demario Douglas,WR,Patriots,,UFA,26.30%,27,"$993,333 ","$133,332 "
Jaylon Jones,CB,Colts,,UFA,17.60%,25,"$988,370 ","$113,480 "
Ethan Evans,P,Rams,,UFA,45.50%,26,"$987,000 ","$108,000 "
DeMarcco Hellams,S,Falcons,,UFA,1.20%,27,"$986,575 ","$106,300 "
Andrew Vorhees,LG,Ravens,,RFA,95.40%,28,"$985,528 ","$102,112 "
Carrington Valentine,CB,Packers,,UFA,69.60%,26,"$985,165 ","$100,660 "
Ahmed Hassanein,EDGE,Lions,,ERFA,0.00%,25,"$985,000 ","$25,000 "
Kenny McIntosh,RB,Seahawks,,UFA,0.00%,27,"$982,646 ","$90,852 "
Cory Trice,CB,Steelers,,UFA,0.00%,27,"$981,109 ","$84,436 "
D.J. Ivey,CB,Bengals,,UFA,10.60%,27,"$980,164 ","$80,656 "
Moro Ojomo,IDL,Eagles,,UFA,65.70%,26,"$979,446 ","$77,784 "
Spencer Anderson,RG,Steelers,,UFA,37.10%,27,"$979,446 ","$77,784 "
Alex Forsyth,C,Broncos,,UFA,11.90%,28,"$979,446 ","$77,784 "
Desjuan Johnson,IDL,Rams,,UFA,9.00%,28,"$979,446 ","$77,784 "
Josh Wallace,CB,Rams,,RFA,24.10%,27,"$963,333 ","$60,000 "
Ethan Driskell,RT,Chiefs,,ERFA,0.00%,27,"$956,667 ","$265,000 "
Dalton Tucker,RG,Colts,,RFA,14.10%,27,"$956,667 ","$240,000 "
Xavier Weaver,WR,Cardinals,,RFA,24.00%,27,"$953,333 ","$255,000 "
Beau Brade,S,Giants,,RFA,0.10%,25,"$951,667 ","$45,000 "
Frank Crum,RT,Broncos,,RFA,5.70%,27,"$951,667 ","$275,000 "
Braiden McGregor,EDGE,Jets,,RFA,23.50%,26,"$950,000 ","$220,000 "
Storm Duck,CB,Dolphins,,RFA,4.10%,27,"$950,000 ","$170,000 "
Tyler Owens,S,Commanders,,RFA,5.80%,26,"$950,000 ","$245,000 "
Brevyn Spann-Ford,TE,Cowboys,,RFA,25.30%,28,"$950,000 ","$245,000 "
British Brooks,RB,Texans,,RFA,6.10%,28,"$948,333 ","$240,000 "
Jaylen McCollough,S,Rams,,RFA,45.50%,27,"$948,333 ","$15,000 "
Andrew Meyer,C,Dolphins,,RFA,5.60%,27,"$948,333 ","$90,000 "
Rico Payton,CB,Giants,,RFA,3.00%,28,"$948,333 ","$45,000 "
Alijah Huzzie,CB,Texans,,ERFA,2.10%,26,"$947,500 ","$40,000 "
Kameron Johnson,WR,Buccaneers,,RFA,9.30%,25,"$946,667 ","$10,000 "
Colson Yankoff,RB,Commanders,,RFA,10.20%,27,"$946,667 ","$50,000 "
Mason Tipton,WR,Saints,,RFA,26.40%,27,"$946,667 ","$110,000 "
Thomas Harper,CB,Lions,,RFA,43.50%,27,"$946,667 ","$30,000 "
Omar Speights,LB,Rams,,RFA,60.00%,26,"$946,333 ","$9,000 "
Dell Pettus,S,Patriots,,RFA,10.80%,26,"$946,333 ","$9,000 "
David Martin-Robinson,TE,Titans,,RFA,12.70%,28,"$945,833 ","$17,500 "
Christian Roland-Wallace,CB,Chiefs,,RFA,18.30%,26,"$945,000 ","$155,000 "
Joe Andreessen,LB,Bills,,RFA,9.80%,27,"$944,167 ","$2,500 "
Hogan Hatten,LS,Lions,,RFA,31.10%,27,"$943,667 ","$1,000 "
Jalen Sundell,LT,Seahawks,,RFA,68.20%,28,"$943,333 ",$0 
Jawhar Jordan,RB,Texans,,ERFA,6.80%,28,"$925,000 ",$0 
Ajani Carter,CB,Texans,,ERFA,0.00%,27,"$925,000 ",$0 
Jared Harrison-Hunte,IDL,Panthers,,ERFA,0.00%,27,"$922,500 ",$0 
Cameron Latu,TE,Eagles,,RFA,9.80%,27,"$922,500 ",$0 
Luke Haggard,LT,Buccaneers,,ERFA,22.10%,27,"$922,500 ",$0 
Jahfari Harvey,EDGE,Raiders,,ERFA,2.50%,26,"$922,500 ",$0 
Rivaldo Fairweather,TE,Cardinals,,ERFA,0.00%,25,"$922,500 ",$0 
Kalen King,CB,Cardinals,,ERFA,0.00%,24,"$922,500 ",$0 
Theo Wease Jr.,WR,Dolphins,,ERFA,5.60%,26,"$922,500 ",$0 
Ethan Downs,EDGE,Chiefs,,ERFA,1.10%,25,"$922,500 ",$0 
Truman Jones,EDGE,Titans,,ERFA,9.80%,27,"$922,500 ",$0 
Micah Robinson,CB,Titans,,ERFA,6.20%,25,"$922,500 ",$0 
Chris Oladokun,QB,Chiefs,,ERFA,9.80%,30,"$922,500 ",$0 
Korie Black,CB,Giants,,ERFA,16.50%,25,"$922,500 ",$0 
Moliki Matavao,TE,Saints,,ERFA,7.40%,24,"$922,500 ",$0 
Kobee Minor,CB,Patriots,,ERFA,3.80%,25,"$922,500 ",$0 
Tejhaun Palmer,WR,Cardinals,,ERFA,0.40%,27,"$922,500 ",$0 
Johnathan Baldwin,S,Packers,,ERFA,5.90%,24,"$922,500 ",$0 
Reese Taylor,CB,Broncos,,ERFA,0.00%,28,"$922,500 ",$0 
CJ Dippre,TE,Patriots,,ERFA,1.80%,25,"$922,500 ",$0 
Chukwuebuka Godrick,RT,Chiefs,,ERFA,16.70%,27,"$922,500 ",$0 
Henry Byrd,RG,Vikings,,ERFA,0.00%,28,"$922,500 ",$0 
Jeremiah Byers,RT,Browns,,ERFA,0.00%,26,"$922,500 ",$0 
Dean Clark,S,Jets,,ERFA,15.90%,26,"$922,500 ",$0 
Alijah Clark,S,Cowboys,,ERFA,3.60%,24,"$922,500 ",$0 
Bryan Hudson,C,Giants,,ERFA,0.30%,26,"$922,500 ",$0 
Brady Cook,QB,Jets,,ERFA,28.20%,26,"$922,500 ",$0 
Brandon Crenshaw-Dickson,RT,Titans,,ERFA,1.70%,26,"$922,500 ",$0 
Sebastian Castro,S,Steelers,,ERFA,0.00%,27,"$922,500 ",$0 
Kevin Knowles II,CB,Chiefs,,ERFA,7.90%,24,"$922,500 ",$0 
Austin McNamara,P,Jets,,ERFA,36.20%,26,"$922,500 ",$0 
Kedon Slovis,QB,Cardinals,,ERFA,0.40%,26,"$922,500 ",$0 
Greedy Vance Jr.,CB,Raiders,,ERFA,8.20%,26,"$922,500 ",$0 
Elijah Simmons,IDL,Buccaneers,,ERFA,8.80%,26,"$922,500 ",$0 
Dom Jones,CB,Browns,,ERFA,4.60%,27,"$922,500 ",$0 
Ben Sauls,K,Giants,,ERFA,5.30%,26,"$922,500 ",$0 
Ethan Robinson,CB,Dolphins,,ERFA,0.00%,24,"$922,500 ",$0 
Jordan Colbert,S,Dolphins,,ERFA,0.00%,27,"$922,500 ",$0 
Jordan Clark,CB,Jets,,ERFA,12.30%,26,"$922,500 ",$0 
Zemaiah Vaughn,CB,Vikings,,ERFA,0.00%,25,"$922,500 ",$0 
Ke'Shawn Williams,WR,Bengals,,ERFA,3.00%,26,"$922,500 ",$0 
Erick Hallett,CB,Titans,,ERFA,13.30%,27,"$922,500 ",$0 
Branson Combs,LB,Jaguars,,ERFA,2.60%,27,"$922,500 ",$0 
Esa Pole,LT,Chiefs,,ERFA,24.70%,26,"$922,500 ",$0 
Amari Kight,RT,Seahawks,,ERFA,0.40%,27,"$922,500 ",$0 
Melvin Smith,CB,Chiefs,,ERFA,0.00%,25,"$922,500 ",$0 
Jakobie Keeney-James,WR,Packers,,ERFA,4.60%,27,"$922,500 ",$0 
William Sherman,LG,Saints,,ERFA,16.10%,28,"$922,500 ",$0 
Corey Kiner,RB,Cardinals,,ERFA,2.60%,25,"$922,500 ",$0 
Cam Horsley,IDL,Titans,,ERFA,1.30%,25,"$922,500 ",$0 
Dylan Drummond,WR,Falcons,,ERFA,11.10%,27,"$922,500 ",$0 
Keondre Jackson,S,Ravens,,ERFA,0.00%,25,"$922,500 ",$0 
Rashad Wisdom,S,Buccaneers,,ERFA,0.30%,26,"$922,500 ",$0 
Chris Edmonds,S,Browns,,ERFA,0.80%,26,"$922,500 ",$0 
Jackson Woodard,LB,Dolphins,,ERFA,0.00%,25,"$922,500 ",$0 
