Player,Pos.,2026 Team,2027 Team,Type,Snaps,Age,Current APY,Guarantees
Keldric Faulk,EDGE,Titans,,ERFA,0.00%,23,"$4,263,551 ",$0 
Nathan Shepherd,IDL,Saints,,Void,63.30%,34,"$4,260,000 ","$4,551,000 "
Mack Wilson,LB,Cardinals,,UFA,45.50%,29,"$4,250,000 ","$6,445,000 "
Mack Hollins,WR,Patriots,,UFA,60.20%,34,"$4,200,000 ","$3,500,000 "
Jadarian Price,RB,Seahawks,,ERFA,0.00%,24,"$4,195,937 ",$0 
Broderick Jones,LT,Steelers,,UFA,61.30%,26,"$4,156,591 ","$16,626,364 "
Jake Brendel,C,49ers,,Void,84.60%,35,"$4,125,000 ","$5,000,000 "
Chase McLaughlin,K,Buccaneers,,UFA,32.10%,31,"$4,100,000 ","$5,000,000 "
Will McDonald IV,EDGE,Jets,,UFA,57.50%,28,"$4,080,416 ","$16,321,664 "
Bud Dupree,EDGE,Chargers,,UFA,38.50%,34,"$4,005,000 ","$2,495,000 "
Will Harris,S,Commanders,,UFA,49.20%,32,"$4,000,000 ","$3,390,000 "
Charles Omenihu,EDGE,Commanders,,UFA,54.30%,30,"$4,000,000 ","$3,300,000 "
P.J. Locke,S,Cowboys,,UFA,15.40%,30,"$4,000,000 ","$3,500,000 "
Jameis Winston,QB,Giants,,UFA,13.60%,33,"$4,000,000 ","$5,250,000 "
Kenny Pickett,QB,Panthers,,UFA,8.00%,29,"$4,000,000 ","$4,000,000 "
Josh Jones,LT,Seahawks,,UFA,23.90%,30,"$4,000,000 ","$3,000,000 "
Asante Samuel Jr.,CB,Steelers,,UFA,19.10%,28,"$4,000,000 ","$2,785,000 "
Rasheed Walker,LT,Panthers,,UFA,94.00%,27,"$4,000,000 ","$3,215,000 "
Brock Wright,TE,Lions,,Void,36.50%,29,"$4,000,000 ","$4,600,000 "
Isaiah McDuffie,LB,Packers,,UFA,45.10%,28,"$4,000,000 ","$2,550,000 "
Charlie Woerner,TE,Falcons,,UFA,51.60%,30,"$4,000,000 ","$4,160,000 "
Cobie Durant,CB,Cowboys,,UFA,73.00%,29,"$4,000,000 ","$1,500,000 "
Teven Jenkins,RG,Browns,,Void,29.80%,29,"$4,000,000 ","$3,960,000 "
Demarcus Robinson,WR,49ers,,Void,37.40%,33,"$4,000,000 ","$6,000,000 "
Dane Belton,S,Jets,,UFA,63.20%,27,"$4,000,000 ","$2,000,000 "
Al-Quadin Muhammad,EDGE,Buccaneers,,UFA,41.40%,32,"$4,000,000 ","$2,500,000 "
Mike Ford,CB,Falcons,,UFA,0.00%,32,"$4,000,000 ","$1,140,000 "
Emmanuel Forbes,CB,Rams,,UFA,72.50%,26,"$3,851,892 ","$15,407,568 "
Micah McFadden,LB,Giants,,UFA,1.00%,27,"$3,750,000 ","$2,900,000 "
Mason Rudolph,QB,Steelers,,UFA,11.00%,32,"$3,750,000 ","$3,000,000 "
Isaiah Pola-Mao,S,Raiders,,UFA,96.00%,28,"$3,725,000 ","$3,500,000 "
Jack Campbell,LB,Lions,,UFA,99.30%,27,"$3,680,505 ","$14,722,018 "
Thomas Booker,IDL,Raiders,,UFA,53.90%,28,"$3,674,000 ",$0 
Sean Tucker,RB,Buccaneers,,UFA,15.60%,26,"$3,520,000 ",$0 
Ronnie Hickman,S,Browns,,UFA,98.50%,26,"$3,520,000 ",$0 
Jordan Meredith,C,Raiders,,UFA,68.10%,29,"$3,520,000 ",$0 
Ivan Pace Jr.,LB,Vikings,,UFA,30.20%,27,"$3,520,000 ",$0 
Nahshon Wright,CB,Jets,,UFA,97.00%,29,"$3,500,000 ","$3,500,000 "
Mac Jones,QB,49ers,,Void,48.60%,29,"$3,500,000 ","$4,750,000 "
Trevor Penning,LT,Chargers,,UFA,48.80%,28,"$3,500,000 ","$3,500,000 "
Nate Hobbs,CB,49ers,,UFA,32.00%,28,"$3,500,000 ","$3,110,000 "
Andy Dalton,QB,Eagles,,Void,9.10%,40,"$3,500,000 ","$3,500,000 "
Drue Tranquill,LB,Chiefs,,UFA,84.90%,32,"$3,500,000 ","$2,995,000 "
"Chauncey Gardner-Johnson, Jr.",S,Bills,,Void,72.10%,30,"$3,500,000 ","$3,015,000 "
Chuma Edoga,LT,Jaguars,,UFA,8.60%,30,"$3,500,000 ","$3,200,000 "
Drew Sample,TE,Bengals,,UFA,53.60%,31,"$3,500,000 ","$2,350,000 "
Kalif Raymond,WR,Bears,,UFA,32.60%,33,"$3,500,000 ","$3,000,000 "
Jack Fox,P,Lions,,UFA,28.80%,31,"$3,491,250 ","$5,895,000 "
Deonte Banks,CB,Giants,,UFA,41.30%,26,"$3,394,851 ","$13,579,404 "
De'Zhaun Stribling,WR,49ers,,ERFA,0.00%,,"$3,344,185 ",$0 
Mazi Smith,IDL,Jets,,UFA,12.80%,26,"$3,318,674 ","$13,274,694 "
Chase Bisontis,G,Cardinals,,ERFA,0.00%,,"$3,314,683 ",$0 
Geno Smith,QB,Jets,,UFA,86.90%,37,"$3,300,000 ","$3,300,000 "
T.J. Parker,EDGE,Bills,,ERFA,0.00%,,"$3,285,187 ",$0 
Jermaine Johnson II,EDGE,Titans,,UFA,60.50%,28,"$3,271,861 ","$13,087,444 "
Spencer Burford,RG,Raiders,,UFA,40.80%,27,"$3,255,000 ","$2,745,000 "
Ashton Dulin,WR,Colts,,UFA,15.20%,30,"$3,250,000 ","$2,940,000 "
Austin Hooper,TE,Falcons,,UFA,46.80%,33,"$3,250,000 ","$2,740,000 "
Dalton Risner,LG,Bengals,,UFA,69.10%,32,"$3,250,000 ","$1,000,000 "
Tremon Smith,CB,Texans,,UFA,16.80%,31,"$3,250,000 ","$4,500,000 "
Greg Dulcich,TE,Dolphins,,Void,24.90%,27,"$3,250,000 ","$2,910,000 "
Kayden McDonald,IDL,Texans,,ERFA,0.00%,,"$3,226,189 ",$0 
Devonte Wyatt,IDL,Packers,,UFA,33.80%,29,"$3,215,296 ","$12,861,182 "
Cordell Volson,LG,Titans,,UFA,0.00%,29,"$3,215,000 ","$2,000,000 "
Colton Hood,CB,Giants,,ERFA,0.00%,,"$3,202,591 ",$0 
Bryan Anger,P,Cowboys,,UFA,27.70%,39,"$3,200,000 ","$3,300,000 "
Rock Ya-Sin,CB,Lions,,UFA,55.30%,31,"$3,200,000 ","$2,640,000 "
Blake Brandel,LT,Vikings,,UFA,60.30%,30,"$3,166,667 ","$3,100,000 "
Myles Murphy,EDGE,Bengals,,UFA,60.00%,25,"$3,146,814 ","$12,587,256 "
Tyrel Dodson,LB,Dolphins,,UFA,85.00%,29,"$3,125,000 ","$2,605,000 "
Denzel Boston,WR,Browns,,ERFA,0.00%,,"$3,096,399 ",$0 
Cameron Thomas,EDGE,Falcons,,UFA,29.40%,27,"$3,095,000 ","$2,500,000 "
R Mason Thomas,EDGE,Chiefs,,ERFA,0.00%,,"$3,049,201 ",$0 
Tress Way,P,Commanders,,UFA,28.30%,37,"$3,037,500 ","$3,012,500 "
Cashius Howell,EDGE,Bengals,,ERFA,0.00%,,"$3,002,000 ",$0 
Dominique Robinson,EDGE,Texans,,UFA,20.00%,29,"$3,000,000 ","$1,500,000 "
Chris Paul,LG,Commanders,,UFA,81.70%,29,"$3,000,000 ","$2,475,000 "
D.J. Wonnum,EDGE,Lions,,UFA,65.10%,30,"$3,000,000 ","$2,270,000 "
Solomon Thomas,IDL,Titans,,UFA,37.90%,32,"$3,000,000 ","$3,000,000 "
Riley Dixon,P,Buccaneers,,UFA,28.20%,34,"$3,000,000 ","$3,000,000 "
Darnell Mooney,WR,Giants,,UFA,71.00%,30,"$3,000,000 ","$3,000,000 "
Sean Murphy-Bunting,CB,Cardinals,,UFA,0.00%,30,"$3,000,000 ","$1,750,000 "
James Conner,RB,Cardinals,,UFA,8.20%,32,"$3,000,000 ","$2,100,000 "
J.K. Scott,P,Chargers,,UFA,31.60%,32,"$3,000,000 ","$3,150,000 "
Carson Wentz,QB,Vikings,,UFA,30.00%,35,"$3,000,000 ","$2,645,000 "
Brandin Echols,CB,Steelers,,UFA,44.80%,30,"$3,000,000 ","$1,830,000 "
Durham Smythe,TE,Ravens,,UFA,25.40%,32,"$3,000,000 ","$2,000,000 "
Christian Kirk,WR,49ers,,UFA,37.30%,31,"$3,000,000 ","$2,780,000 "
Shelby Harris,IDL,Giants,,UFA,48.20%,36,"$3,000,000 ","$2,660,000 "
